jogo_id,data,mandante,visitante,minuto,placar_mandante,placar_visitante,odd_mandante,odd_empate,odd_visitante,gol_no_minuto,quem_marcou,competicao,temporada
1,2024-09-15,Ceará,Fortaleza,32,1,0,1.71,3.29,5.49,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,33,1,0,1.72,3.21,5.47,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,34,1,0,1.72,3.3,5.59,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,35,1,0,1.7,3.3,5.48,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,36,1,0,1.74,3.37,5.41,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,37,1,0,1.75,3.39,5.3,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,38,1,0,1.78,3.4,5.39,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,39,1,0,1.78,3.3,5.33,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,40,1,0,1.73,3.38,5.45,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,41,1,0,1.76,3.34,5.31,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,42,1,0,1.8,3.43,5.18,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,43,1,0,1.8,3.34,5.26,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,44,1,0,1.83,3.27,5.25,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,45,1,0,1.84,3.22,5.37,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,46,1,0,1.83,3.16,5.38,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,47,1,0,1.86,3.1,5.32,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,48,1,0,1.92,3.13,5.3,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,49,1,0,1.92,3.06,5.21,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,50,1,0,1.9,3.08,5.13,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,51,1,0,1.87,3.0,5.17,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,52,1,0,1.84,3.07,5.28,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,53,1,0,1.79,3.02,5.33,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,54,1,0,1.76,2.95,5.47,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,55,1,0,1.77,2.95,5.56,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,56,1,0,1.8,2.9,5.43,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,57,1,0,1.79,2.89,5.42,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,58,1,0,1.81,2.92,5.58,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,59,1,0,1.77,2.9,5.53,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,60,1,0,1.81,2.86,5.43,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,61,1,0,1.69,2.85,5.36,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,62,1,0,1.55,2.92,5.34,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,63,1,0,1.48,2.93,5.2,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,64,1,0,1.42,2.99,5.35,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,65,1,0,1.36,3.05,5.24,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,66,1,0,1.27,3.0,5.21,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,67,2,0,1.01,4.55,10.34,1,Ceará,Série B,2024
1,2024-09-15,Ceará,Fortaleza,68,2,0,1.01,4.67,10.65,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,69,2,0,1.01,4.73,10.43,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,70,2,0,1.01,4.86,10.48,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,71,2,0,1.01,4.93,10.2,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,72,2,0,1.01,4.93,10.42,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,73,2,0,1.01,5.07,10.16,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,74,2,0,1.01,5.1,10.27,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,75,2,0,1.01,4.98,10.51,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,76,2,0,1.01,5.01,10.59,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,77,2,0,1.01,5.04,10.6,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,78,2,0,1.01,4.95,10.74,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,79,2,0,1.01,4.92,10.85,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,80,2,0,1.01,4.87,11.01,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,81,2,0,1.01,4.86,11.34,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,82,2,0,1.01,4.74,11.14,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,83,2,0,1.01,4.86,11.39,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,84,2,0,1.01,4.82,11.16,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,85,2,0,1.01,4.88,11.23,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,86,2,0,1.01,4.93,10.9,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,87,2,0,1.01,4.87,11.01,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,88,2,0,1.01,4.76,10.76,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,89,2,0,1.01,4.78,10.61,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,90,2,0,1.01,4.84,10.42,0,,Série B,2024
2,2024-09-18,Santos,Sport,0,0,0,2.29,3.04,3.15,0,,Série B,2024
2,2024-09-18,Santos,Sport,1,0,0,2.28,3.0,3.06,0,,Série B,2024
2,2024-09-18,Santos,Sport,2,0,0,2.32,3.02,3.02,0,,Série B,2024
2,2024-09-18,Santos,Sport,3,0,0,2.35,3.03,3.01,0,,Série B,2024
2,2024-09-18,Santos,Sport,4,0,0,2.28,2.95,3.08,0,,Série B,2024
2,2024-09-18,Santos,Sport,5,0,0,2.34,2.96,3.14,0,,Série B,2024
2,2024-09-18,Santos,Sport,6,0,0,2.35,2.9,3.07,0,,Série B,2024
2,2024-09-18,Santos,Sport,7,0,0,2.32,2.97,3.12,0,,Série B,2024
2,2024-09-18,Santos,Sport,8,0,0,2.37,3.04,3.07,0,,Série B,2024
2,2024-09-18,Santos,Sport,9,0,0,2.33,2.97,3.12,0,,Série B,2024
2,2024-09-18,Santos,Sport,10,0,0,2.38,2.95,3.14,0,,Série B,2024
2,2024-09-18,Santos,Sport,11,0,0,2.33,3.03,3.21,0,,Série B,2024
2,2024-09-18,Santos,Sport,12,1,0,1.69,5.24,6.13,1,Santos,Série B,2024
2,2024-09-18,Santos,Sport,13,1,0,1.73,5.34,6.26,0,,Série B,2024
2,2024-09-18,Santos,Sport,14,1,0,1.76,5.27,6.37,0,,Série B,2024
2,2024-09-18,Santos,Sport,15,1,0,1.72,5.39,6.51,0,,Série B,2024
2,2024-09-18,Santos,Sport,16,1,0,1.69,5.49,6.49,0,,Série B,2024
2,2024-09-18,Santos,Sport,17,1,0,1.67,5.59,6.38,0,,Série B,2024
2,2024-09-18,Santos,Sport,18,1,0,1.62,5.49,6.31,0,,Série B,2024
2,2024-09-18,Santos,Sport,19,1,0,1.66,5.64,6.23,0,,Série B,2024
2,2024-09-18,Santos,Sport,20,1,0,1.67,5.61,6.41,0,,Série B,2024
2,2024-09-18,Santos,Sport,21,1,0,1.67,5.76,6.26,0,,Série B,2024
2,2024-09-18,Santos,Sport,22,1,0,1.72,5.65,6.43,0,,Série B,2024
2,2024-09-18,Santos,Sport,23,1,0,1.7,5.52,6.4,0,,Série B,2024
2,2024-09-18,Santos,Sport,24,1,0,1.72,5.46,6.44,0,,Série B,2024
2,2024-09-18,Santos,Sport,25,1,0,1.72,5.42,6.47,0,,Série B,2024
2,2024-09-18,Santos,Sport,26,1,0,1.69,5.49,6.28,0,,Série B,2024
2,2024-09-18,Santos,Sport,27,1,0,1.73,5.5,6.36,0,,Série B,2024
2,2024-09-18,Santos,Sport,28,1,0,1.76,5.56,6.31,0,,Série B,2024
2,2024-09-18,Santos,Sport,29,1,0,1.71,5.61,6.25,0,,Série B,2024
2,2024-09-18,Santos,Sport,30,1,0,1.69,5.73,6.33,0,,Série B,2024
2,2024-09-18,Santos,Sport,31,1,0,1.67,5.66,6.3,0,,Série B,2024
2,2024-09-18,Santos,Sport,32,1,0,1.66,5.59,6.16,0,,Série B,2024
2,2024-09-18,Santos,Sport,33,1,0,1.65,5.74,6.23,0,,Série B,2024
2,2024-09-18,Santos,Sport,34,1,0,1.69,5.78,6.16,0,,Série B,2024
2,2024-09-18,Santos,Sport,35,1,0,1.69,5.61,6.08,0,,Série B,2024
2,2024-09-18,Santos,Sport,36,1,0,1.68,5.64,6.14,0,,Série B,2024
2,2024-09-18,Santos,Sport,37,1,0,1.68,5.62,6.03,0,,Série B,2024
2,2024-09-18,Santos,Sport,38,1,0,1.68,5.76,6.14,0,,Série B,2024
2,2024-09-18,Santos,Sport,39,1,0,1.65,5.62,6.15,0,,Série B,2024
2,2024-09-18,Santos,Sport,40,1,0,1.66,5.56,6.27,0,,Série B,2024
2,2024-09-18,Santos,Sport,41,1,0,1.69,5.62,6.17,0,,Série B,2024
2,2024-09-18,Santos,Sport,42,1,0,1.66,5.46,6.08,0,,Série B,2024
2,2024-09-18,Santos,Sport,43,1,0,1.66,5.57,5.92,0,,Série B,2024
2,2024-09-18,Santos,Sport,44,1,0,1.65,5.61,5.81,0,,Série B,2024
2,2024-09-18,Santos,Sport,45,2,0,1.15,8.42,9.12,1,Santos,Série B,2024
2,2024-09-18,Santos,Sport,46,2,0,1.17,8.22,9.08,0,,Série B,2024
2,2024-09-18,Santos,Sport,47,2,0,1.15,8.45,9.09,0,,Série B,2024
2,2024-09-18,Santos,Sport,48,2,0,1.12,8.32,9.28,0,,Série B,2024
2,2024-09-18,Santos,Sport,49,2,0,1.12,8.47,9.37,0,,Série B,2024
2,2024-09-18,Santos,Sport,50,2,0,1.15,8.52,9.62,0,,Série B,2024
2,2024-09-18,Santos,Sport,51,2,0,1.18,8.58,9.75,0,,Série B,2024
2,2024-09-18,Santos,Sport,52,2,0,1.18,8.75,9.78,0,,Série B,2024
2,2024-09-18,Santos,Sport,53,2,0,1.21,8.88,9.77,0,,Série B,2024
2,2024-09-18,Santos,Sport,54,2,0,1.19,8.75,9.85,0,,Série B,2024
2,2024-09-18,Santos,Sport,55,2,0,1.21,8.76,9.92,0,,Série B,2024
2,2024-09-18,Santos,Sport,56,2,0,1.19,8.54,9.79,0,,Série B,2024
2,2024-09-18,Santos,Sport,57,2,0,1.17,8.45,9.81,0,,Série B,2024
2,2024-09-18,Santos,Sport,58,2,0,1.14,8.31,9.92,0,,Série B,2024
2,2024-09-18,Santos,Sport,59,2,0,1.15,8.09,9.87,0,,Série B,2024
2,2024-09-18,Santos,Sport,60,2,0,1.15,8.05,9.7,0,,Série B,2024
2,2024-09-18,Santos,Sport,61,2,0,1.07,8.25,9.75,0,,Série B,2024
2,2024-09-18,Santos,Sport,62,2,0,1.01,8.43,9.91,0,,Série B,2024
2,2024-09-18,Santos,Sport,63,2,0,1.01,8.18,9.82,0,,Série B,2024
2,2024-09-18,Santos,Sport,64,2,0,1.01,8.35,10.09,0,,Série B,2024
2,2024-09-18,Santos,Sport,65,2,0,1.01,8.47,10.12,0,,Série B,2024
2,2024-09-18,Santos,Sport,66,2,0,1.01,8.33,9.95,0,,Série B,2024
2,2024-09-18,Santos,Sport,67,2,0,1.01,8.09,9.85,0,,Série B,2024
2,2024-09-18,Santos,Sport,68,2,0,1.01,8.04,9.65,0,,Série B,2024
2,2024-09-18,Santos,Sport,69,2,0,1.01,7.86,9.72,0,,Série B,2024
2,2024-09-18,Santos,Sport,70,2,0,1.01,7.81,9.76,0,,Série B,2024
2,2024-09-18,Santos,Sport,71,2,0,1.01,7.88,9.55,0,,Série B,2024
2,2024-09-18,Santos,Sport,72,2,0,1.01,7.67,9.48,0,,Série B,2024
2,2024-09-18,Santos,Sport,73,2,0,1.01,7.59,9.63,0,,Série B,2024
2,2024-09-18,Santos,Sport,74,2,0,1.01,7.7,9.82,0,,Série B,2024
2,2024-09-18,Santos,Sport,75,2,0,1.01,7.51,9.54,0,,Série B,2024
2,2024-09-18,Santos,Sport,76,2,0,1.01,7.74,9.45,0,,Série B,2024
2,2024-09-18,Santos,Sport,77,2,0,1.01,7.87,9.54,0,,Série B,2024
2,2024-09-18,Santos,Sport,78,2,1,1.67,13.68,5.5,1,Sport,Série B,2024
2,2024-09-18,Santos,Sport,79,2,1,1.55,13.73,5.41,0,,Série B,2024
2,2024-09-18,Santos,Sport,80,2,1,1.44,13.95,5.3,0,,Série B,2024
2,2024-09-18,Santos,Sport,81,2,1,1.33,14.16,5.18,0,,Série B,2024
2,2024-09-18,Santos,Sport,82,2,1,1.25,14.55,5.06,0,,Série B,2024
2,2024-09-18,Santos,Sport,83,2,1,1.11,14.39,5.11,0,,Série B,2024
2,2024-09-18,Santos,Sport,84,2,1,1.04,14.3,5.18,0,,Série B,2024
2,2024-09-18,Santos,Sport,85,2,1,1.01,14.46,5.22,0,,Série B,2024
2,2024-09-18,Santos,Sport,86,2,1,1.01,14.7,5.33,0,,Série B,2024
2,2024-09-18,Santos,Sport,87,2,1,1.01,14.37,5.48,0,,Série B,2024
2,2024-09-18,Santos,Sport,88,2,1,1.01,14.24,5.46,0,,Série B,2024
2,2024-09-18,Santos,Sport,89,2,1,1.01,14.25,5.41,0,,Série B,2024
2,2024-09-18,Santos,Sport,90,2,1,1.01,14.53,5.28,0,,Série B,2024
3,2024-09-22,Goiás,CRB,0,0,0,2.5,3.23,3.79,0,,Série B,2024
3,2024-09-22,Goiás,CRB,1,0,0,2.57,3.19,3.86,0,,Série B,2024
3,2024-09-22,Goiás,CRB,2,0,0,2.58,3.19,3.85,0,,Série B,2024
3,2024-09-22,Goiás,CRB,3,0,0,2.62,3.15,3.93,0,,Série B,2024
3,2024-09-22,Goiás,CRB,4,0,0,2.67,3.07,4.02,0,,Série B,2024
3,2024-09-22,Goiás,CRB,5,0,0,2.63,3.06,4.05,0,,Série B,2024
3,2024-09-22,Goiás,CRB,6,0,0,2.61,2.97,4.14,0,,Série B,2024
3,2024-09-22,Goiás,CRB,7,0,0,2.56,2.92,4.21,0,,Série B,2024
3,2024-09-22,Goiás,CRB,8,0,0,2.54,2.99,4.26,0,,Série B,2024
3,2024-09-22,Goiás,CRB,9,0,0,2.51,2.9,4.37,0,,Série B,2024
3,2024-09-22,Goiás,CRB,10,0,0,2.45,2.94,4.37,0,,Série B,2024
3,2024-09-22,Goiás,CRB,11,0,0,2.49,2.97,4.41,0,,Série B,2024
3,2024-09-22,Goiás,CRB,12,0,0,2.49,3.02,4.3,0,,Série B,2024
3,2024-09-22,Goiás,CRB,13,0,0,2.45,3.05,4.25,0,,Série B,2024
3,2024-09-22,Goiás,CRB,14,0,0,2.46,3.05,4.26,0,,Série B,2024
3,2024-09-22,Goiás,CRB,15,0,0,2.45,3.1,4.22,0,,Série B,2024
3,2024-09-22,Goiás,CRB,16,0,0,2.48,3.06,4.16,0,,Série B,2024
3,2024-09-22,Goiás,CRB,17,0,0,2.42,3.0,4.07,0,,Série B,2024
3,2024-09-22,Goiás,CRB,18,0,0,2.43,3.05,3.99,0,,Série B,2024
3,2024-09-22,Goiás,CRB,19,0,0,2.39,3.05,4.04,0,,Série B,2024
3,2024-09-22,Goiás,CRB,20,0,0,2.46,3.05,3.99,0,,Série B,2024
3,2024-09-22,Goiás,CRB,21,0,0,2.4,2.99,3.92,0,,Série B,2024
3,2024-09-22,Goiás,CRB,22,0,0,2.35,2.9,3.93,0,,Série B,2024
3,2024-09-22,Goiás,CRB,23,0,0,2.32,2.98,3.94,0,,Série B,2024
3,2024-09-22,Goiás,CRB,24,0,0,2.35,2.91,4.03,0,,Série B,2024
3,2024-09-22,Goiás,CRB,25,0,0,2.35,2.98,4.05,0,,Série B,2024
3,2024-09-22,Goiás,CRB,26,0,0,2.35,2.97,3.97,0,,Série B,2024
3,2024-09-22,Goiás,CRB,27,0,0,2.29,3.05,3.96,0,,Série B,2024
3,2024-09-22,Goiás,CRB,28,0,0,2.33,3.03,3.86,0,,Série B,2024
3,2024-09-22,Goiás,CRB,29,0,0,2.35,2.95,3.78,0,,Série B,2024
3,2024-09-22,Goiás,CRB,30,0,0,2.36,2.92,3.89,0,,Série B,2024
3,2024-09-22,Goiás,CRB,31,0,0,2.31,2.97,3.91,0,,Série B,2024
3,2024-09-22,Goiás,CRB,32,0,0,2.35,2.92,3.92,0,,Série B,2024
3,2024-09-22,Goiás,CRB,33,0,0,2.34,2.91,4.0,0,,Série B,2024
3,2024-09-22,Goiás,CRB,34,0,0,2.41,2.88,4.03,0,,Série B,2024
3,2024-09-22,Goiás,CRB,35,0,0,2.43,2.92,4.14,0,,Série B,2024
3,2024-09-22,Goiás,CRB,36,0,0,2.39,2.87,4.18,0,,Série B,2024
3,2024-09-22,Goiás,CRB,37,0,0,2.34,2.81,4.07,0,,Série B,2024
3,2024-09-22,Goiás,CRB,38,0,0,2.27,2.8,4.09,0,,Série B,2024
3,2024-09-22,Goiás,CRB,39,0,0,2.24,2.75,4.14,0,,Série B,2024
3,2024-09-22,Goiás,CRB,40,0,0,2.27,2.74,4.19,0,,Série B,2024
3,2024-09-22,Goiás,CRB,41,0,0,2.33,2.79,4.22,0,,Série B,2024
3,2024-09-22,Goiás,CRB,42,0,0,2.35,2.86,4.2,0,,Série B,2024
3,2024-09-22,Goiás,CRB,43,0,0,2.36,2.89,4.3,0,,Série B,2024
3,2024-09-22,Goiás,CRB,44,0,0,2.41,2.82,4.21,0,,Série B,2024
3,2024-09-22,Goiás,CRB,45,0,0,2.38,2.86,4.23,0,,Série B,2024
3,2024-09-22,Goiás,CRB,46,0,0,2.35,2.8,4.28,0,,Série B,2024
3,2024-09-22,Goiás,CRB,47,0,0,2.38,2.87,4.28,0,,Série B,2024
3,2024-09-22,Goiás,CRB,48,0,0,2.38,2.8,4.16,0,,Série B,2024
3,2024-09-22,Goiás,CRB,49,0,0,2.37,2.77,4.1,0,,Série B,2024
3,2024-09-22,Goiás,CRB,50,0,0,2.31,2.85,4.18,0,,Série B,2024
3,2024-09-22,Goiás,CRB,51,0,0,2.32,2.93,4.31,0,,Série B,2024
3,2024-09-22,Goiás,CRB,52,0,0,2.34,2.89,4.19,0,,Série B,2024
3,2024-09-22,Goiás,CRB,53,0,0,2.38,2.88,4.23,0,,Série B,2024
3,2024-09-22,Goiás,CRB,54,0,0,2.44,2.82,4.25,0,,Série B,2024
3,2024-09-22,Goiás,CRB,55,0,0,2.46,2.82,4.15,0,,Série B,2024
3,2024-09-22,Goiás,CRB,56,0,0,2.44,2.79,4.19,0,,Série B,2024
3,2024-09-22,Goiás,CRB,57,0,0,2.49,2.76,4.24,0,,Série B,2024
3,2024-09-22,Goiás,CRB,58,0,0,2.46,2.83,4.32,0,,Série B,2024
3,2024-09-22,Goiás,CRB,59,0,0,2.47,2.82,4.27,0,,Série B,2024
3,2024-09-22,Goiás,CRB,60,0,0,2.44,2.9,4.25,0,,Série B,2024
3,2024-09-22,Goiás,CRB,61,0,0,2.44,2.98,4.29,0,,Série B,2024
3,2024-09-22,Goiás,CRB,62,0,0,2.45,2.96,4.21,0,,Série B,2024
3,2024-09-22,Goiás,CRB,63,0,0,2.43,3.01,4.24,0,,Série B,2024
3,2024-09-22,Goiás,CRB,64,0,0,2.47,2.96,4.25,0,,Série B,2024
3,2024-09-22,Goiás,CRB,65,0,0,2.53,2.95,4.3,0,,Série B,2024
3,2024-09-22,Goiás,CRB,66,0,0,2.47,3.03,4.33,0,,Série B,2024
3,2024-09-22,Goiás,CRB,67,0,0,2.43,2.97,4.34,0,,Série B,2024
3,2024-09-22,Goiás,CRB,68,0,0,2.44,2.9,4.47,0,,Série B,2024
3,2024-09-22,Goiás,CRB,69,0,0,2.5,2.89,4.37,0,,Série B,2024
3,2024-09-22,Goiás,CRB,70,0,0,2.55,2.89,4.43,0,,Série B,2024
3,2024-09-22,Goiás,CRB,71,0,0,2.55,2.85,4.52,0,,Série B,2024
3,2024-09-22,Goiás,CRB,72,0,0,2.62,2.81,4.53,0,,Série B,2024
3,2024-09-22,Goiás,CRB,73,0,0,2.6,2.88,4.53,0,,Série B,2024
3,2024-09-22,Goiás,CRB,74,0,0,2.66,2.94,4.47,0,,Série B,2024
3,2024-09-22,Goiás,CRB,75,0,0,2.71,2.92,4.59,0,,Série B,2024
3,2024-09-22,Goiás,CRB,76,0,0,2.71,2.98,4.53,0,,Série B,2024
3,2024-09-22,Goiás,CRB,77,0,0,2.68,3.0,4.67,0,,Série B,2024
3,2024-09-22,Goiás,CRB,78,0,0,2.68,2.94,4.68,0,,Série B,2024
3,2024-09-22,Goiás,CRB,79,0,0,2.66,2.95,4.69,0,,Série B,2024
3,2024-09-22,Goiás,CRB,80,0,0,2.65,2.92,4.6,0,,Série B,2024
3,2024-09-22,Goiás,CRB,81,0,0,2.68,2.93,4.53,0,,Série B,2024
3,2024-09-22,Goiás,CRB,82,0,0,2.72,2.85,4.6,0,,Série B,2024
3,2024-09-22,Goiás,CRB,83,0,0,2.75,2.9,4.57,0,,Série B,2024
3,2024-09-22,Goiás,CRB,84,0,0,2.78,2.96,4.7,0,,Série B,2024
3,2024-09-22,Goiás,CRB,85,0,0,2.78,2.88,4.7,0,,Série B,2024
3,2024-09-22,Goiás,CRB,86,0,0,2.8,2.94,4.81,0,,Série B,2024
3,2024-09-22,Goiás,CRB,87,0,0,2.79,2.94,4.8,0,,Série B,2024
3,2024-09-22,Goiás,CRB,88,0,0,2.83,2.92,4.84,0,,Série B,2024
3,2024-09-22,Goiás,CRB,89,0,0,2.77,2.91,4.98,0,,Série B,2024
3,2024-09-22,Goiás,CRB,90,0,0,2.74,2.94,5.02,0,,Série B,2024
4,2024-09-25,Novorizontino,Ponte Preta,0,0,0,2.38,3.36,3.84,0,,Série B,2024
4,2024-09-25,Novorizontino,Ponte Preta,1,0,0,2.42,3.44,3.73,0,,Série B,2024
4,2024-09-25,Novorizontino,Ponte Preta,2,0,0,2.36,3.47,3.82,0,,Série B,2024
4,2024-09-25,Novorizontino,Ponte Preta,3,0,0,2.43,3.52,3.8,0,,Série B,2024
4,2024-09-25,Novorizontino,Ponte Preta,4,0,0,2.37,3.55,3.88,0,,Série B,2024
4,2024-09-25,Novorizontino,Ponte Preta,5,0,0,2.36,3.59,3.97,0,,Série B,2024
4,2024-09-25,Novorizontino,Ponte Preta,6,0,0,2.3,3.65,3.92,0,,Série B,2024
4,2024-09-25,Novorizontino,Ponte Preta,7,0,0,2.28,3.57,3.93,0,,Série B,2024
4,2024-09-25,Novorizontino,Ponte Preta,8,1,0,1.47,6.19,5.94,1,Novorizontino,Série B,2024
4,2024-09-25,Novorizontino,Ponte Preta,9,1,0,1.45,6.34,5.81,0,,Série B,2024
4,2024-09-25,Novorizontino,Ponte Preta,10,1,0,1.45,6.25,5.72,0,,Série B,2024
4,2024-09-25,Novorizontino,Ponte Preta,11,1,0,1.41,6.36,5.86,0,,Série B,2024
4,2024-09-25,Novorizontino,Ponte Preta,12,1,0,1.43,6.23,5.84,0,,Série B,2024
4,2024-09-25,Novorizontino,Ponte Preta,13,1,0,1.42,6.26,5.89,0,,Série B,2024
4,2024-09-25,Novorizontino,Ponte Preta,14,1,0,1.41,6.17,6.01,0,,Série B,2024
4,2024-09-25,Novorizontino,Ponte Preta,15,1,0,1.38,6.13,6.0,0,,Série B,2024
4,2024-09-25,Novorizontino,Ponte Preta,16,1,0,1.36,6.16,6.03,0,,Série B,2024
4,2024-09-25,Novorizontino,Ponte Preta,17,1,0,1.4,6.08,6.2,0,,Série B,2024
4,2024-09-25,Novorizontino,Ponte Preta,18,1,0,1.41,6.0,6.22,0,,Série B,2024
4,2024-09-25,Novorizontino,Ponte Preta,19,1,0,1.43,6.09,6.05,0,,Série B,2024
